Escenario,Trigger_Alerta,Metricas_Monitoreo,Frecuencia_Check,Umbral_Critico,Playbook_Recuperacion,Paso_1,Paso_2,Paso_3,Paso_4,Paso_5,Tiempo_Estimado_Recuperacion,Prioridad,Herramientas_Necesarias,Notas_Implementacion
"Caída Tráfico Orgánico Súbita","Tráfico orgánico cae >15% en 7 días consecutivos","Tráfico orgánico total, Tráfico por landing page, Keywords Top 10, CTR promedio, Impresiones",Diaria (Google Search Console),"Caída >15% sostenida 7+ días = Crítico","1. Identificar update algorítmico | 2. Auditoría contenido afectado | 3. Análisis competidores ganadores | 4. Implementar mejoras | 5. Monitoreo recuperación","Verificar Google Search Central Blog + MozCast + SEMrush Sensor para confirmar algorithm update. Si update confirmado → analizar tipo (Core, HCU, Spam, etc).","Identificar URLs con mayor caída tráfico (GSC Performance Report). Analizar qué tienen en común: thin content, falta E-E-A-T, links spam, mobile issues, etc.","Analizar Top 3 competidores que ganaron rankings. ¿Qué tienen que Ibiza Villa no? (E-E-A-T señales, contenido más profundo, mejor UX, Schema markup, etc).","Implementar mejoras basadas en análisis: expandir contenido thin, añadir E-E-A-T signals, eliminar spam links (disavow), fix mobile issues, optimizar CWV.","Monitorear recuperación semanal. Esperar 30-90 días para recuperación completa. Documentar lecciones aprendidas para futuros updates.","30-90 días (depende severidad update)","Crítica - Requiere acción inmediata <24h","Google Search Console, Ahrefs, SEMrush Sensor, MozCast, Google Search Central Blog, Screaming Frog","Mayoría recuperaciones requieren 60-90 días. No hacer cambios drásticos inmediatos. Analizar primero, actuar después con datos."
"Penalización Manual Google","Mensaje en Search Console notificando Manual Action","Tráfico orgánico (caída dramática >50%), Manual Actions report GSC, Spam score links, Thin content audit",Diaria (Search Console Manual Actions),Manual Action detectada = Crítico Inmediato,"1. Leer penalty details | 2. Eliminar contenido/links infractores | 3. Submit reconsideration request | 4. Esperar respuesta Google | 5. Implementar preventivo","Leer detalle penalty en Search Console Manual Actions: ¿Spam links?, ¿Thin content?, ¿Cloaking?, ¿Hidden text?, ¿User-generated spam?","Eliminar 100% contenido o links infractores: disavow spam links, eliminar páginas thin/doorway, fix cloaking, eliminar hidden text, moderar UGC spam.","Submit reconsideration request en Search Console explicando: qué se eliminó, por qué infringía guidelines, qué medidas preventivas se implementaron.","Esperar respuesta Google (típicamente 3-14 días). Si rechazada: revisar qué faltó eliminar y resubmit. Si aprobada: penalty levantada inmediatamente.","Implementar medidas preventivas: auditoría link profile mensual, content quality review trimestral, monitoring spam score continuo, educación equipo guidelines.","14-45 días (3-14 días respuesta + implementación preventiva)","Crítica - Penalty manual = acción inmediata <48h","Google Search Console, Ahrefs (Backlink Audit), Moz Spam Score, Screaming Frog (Content Audit)","Manual penalty rara pero devastadora (tráfico -70-90%). Prevención > cura. Auditorías preventivas cada 3 meses críticas."
"Core Web Vitals Degradación","LCP >2.5s o CLS >0.1 o FID >100ms sostenido 14+ días","LCP (Largest Contentful Paint), CLS (Cumulative Layout Shift), FID (First Input Delay), Mobile vs Desktop CWV, Page Speed Insights score",Semanal (PageSpeed Insights + Search Console CWV report),"LCP >4s o CLS >0.25 = Crítico (penalización rankings mobile)","1. Identificar páginas problema | 2. Optimizar imágenes | 3. Lazy loading + preload | 4. Critical CSS inline | 5. Verificar mejoras","Identificar URLs con peor CWV en Search Console Core Web Vitals report. Priorizar landing pages alto tráfico (home, villas top, guías).","Optimizar imágenes: comprimir a WebP, resize a dimensiones reales, responsive images srcset. Target: reducir peso imágenes 60-80%.","Implementar lazy loading imágenes below-fold, preload imágenes hero above-fold, font-display: swap para fuentes, defer scripts no-críticos.","Extraer critical CSS (above-fold) e inline en <head>. Mover CSS no-crítico a load async. Reducir render-blocking resources.","Verificar mejoras con PageSpeed Insights y Search Console CWV report. Esperar 28 días para que Google re-evalúe CWV en Field Data.","14-28 días (implementación + re-evaluación Google)","Alta - CWV = ranking factor mobile-first indexing","PageSpeed Insights, Search Console CWV Report, Lighthouse, WebPageTest, Chrome DevTools","CWV mejoras tardan 28 días reflejarse en GSC (usa Field Data real users). Mobile CWV crítico (68% tráfico mobile)."
"Competidor Nuevo Domina Keywords","Competidor nuevo rankea Top 3 en 10+ keywords target en <30 días","Rankings keywords target (posiciones 1-10), Share of Voice (SOV), Competidores rankings Top 10, DR competidores nuevos",Semanal (Ahrefs Rank Tracker),"Competidor nuevo captura >30% SOV keywords target = Alta prioridad","1. Auditoría competidor ganador | 2. Gap analysis contenido | 3. Gap analysis backlinks | 4. Gap analysis técnico | 5. Implementar mejoras prioritarias","Auditoría completa competidor: Ahrefs Site Explorer (DR, backlinks, contenido top), Screaming Frog (estructura, Schema), PageSpeed (CWV).","Content gap analysis: ¿Qué contenido tiene competidor que Ibiza Villa no? (guías más profundas, FAQs, casos estudio, datos propios, video tours).","Backlink gap analysis: ¿Qué backlinks tiene competidor? (menciones prensa DA 70+, partnerships, directorios premium). Identificar oportunidades replicables.","Technical gap analysis: ¿Ventajas técnicas competidor? (mejor CWV, Schema markup completo, mobile UX superior, internal linking estratégico).","Priorizar e implementar mejoras con mayor ROI: 1) Backlinks replicables DA 50+ (quick wins), 2) Content gaps critical, 3) Schema markup faltante, 4) CWV optimizations.","45-90 días (competir con competidor establecido)","Alta - Proteger share of voice keywords target","Ahrefs, SEMrush, Screaming Frog, PageSpeed Insights, Moz Link Explorer","Competidor nuevo dominante = señal Ibiza Villa tiene gaps significativos. Usar como blueprint para mejoras."
"Helpful Content Update Penalty","Caída >20% tráfico post-HCU + contenido bajo E-E-A-T detectado","Tráfico orgánico, Bounce rate, Time on page, E-E-A-T audit score, Contenido thin (<500 palabras), Experiencia real demostrada",Mensual (auditoría contenido) + Diaria (tráfico post-HCU),"Caída >20% tráfico sostenida 30+ días post-HCU = Crítico","1. Auditoría E-E-A-T completo | 2. Eliminar contenido thin | 3. Añadir experiencia real | 4. Implementar Schema Person | 5. Conseguir mentions autoritativas","Auditoría E-E-A-T completo: ¿Contenido muestra experiencia real? ¿Hay personas identificadas? ¿Casos estudio reales? ¿Fotos propias vs stock? ¿Datos propios?","Eliminar o consolidar contenido thin sin valor: páginas <500 palabras sin experiencia única, contenido keyword-stuffed, info copiada competitors.","Añadir experiencia real: guías Ibiza con insights locales únicos (500+ reservas experiencia), casos estudio huéspedes, fotos propias villas, video tours.","Implementar Schema Person para fundador/equipo. Añadir sección About Us con bios equipo, experiencia sector, credenciales. LinkedIn profiles enlazados.","Conseguir 3-5 menciones medios autoritativos DA 70+ (Forbes Travel, Timeout Ibiza, Condé Nast). Pitch artículos expertise villas lujo Ibiza.","90-120 días (HCU recuperación lenta, requiere E-E-A-T sólido)","Crítica - HCU penalties severas y duraderas","Screaming Frog (content audit), Ahrefs (E-E-A-T signals), Google Rich Results Test (Schema), HARO (media mentions)","HCU penaliza contenido 'SEO-first' sin experiencia real. Recovery lenta (90-120 días). Prevención crítica: contenido siempre people-first."
"Spam Links Ataque Negativo SEO","Spike súbito 100+ backlinks spam en 7 días (DR <20, spam score >80)","Nuevos backlinks diarios (Ahrefs), Spam score promedio links, DR promedio nuevos links, Anchor text spam patterns, Tráfico referral spam",Diaria (Ahrefs Backlink Monitor),"100+ spam links/semana o spam score promedio >60 = Alta prioridad","1. Identificar spam links | 2. Intentar remoción manual | 3. Crear disavow file | 4. Submit disavow a Google | 5. Monitoreo continuo","Identificar spam links en Ahrefs Backlinks report: filtrar DR <20, spam score >70, anchor text spam ('viagra', 'casino', 'porn', 'cheap').","Intentar remoción manual top 20 dominios spam peores (DR <10, spam score >90). Contact webmasters via WHOIS email solicitando remoción link.","Crear disavow.txt file con dominios spam no removidos manualmente. Format: 'domain:ejemplo-spam.com' (una línea por dominio).","Submit disavow.txt a Google Search Console → Links → Disavow Links. Documentar fecha submission y número dominios disavowed.","Monitoreo continuo backlinks nuevos (alerts Ahrefs). Si ataque continúa: update disavow.txt mensualmente. Esperar 4-8 semanas efecto disavow.","30-60 días (Google procesa disavow 4-8 semanas)","Alta - Spam links pueden causar penalty Penguin","Ahrefs (Backlink Monitor), Moz Spam Score, Google Search Console (Disavow Tool), WHOIS (contact webmasters)","Negative SEO raro pero real. Disavow file = protección. No disavow links buenos por error (irreversible sin resubmit)."
"Mobile-First Indexing Issues","Tráfico mobile cae >20% mientras desktop estable/sube","Tráfico mobile vs desktop, Mobile rankings vs desktop rankings, Mobile usability issues (GSC), Content parity mobile/desktop, Mobile CWV",Semanal (Search Console Mobile Usability + Performance),"Tráfico mobile -20% + mobile rankings -10 posiciones = Crítico","1. Auditoría content parity | 2. Fix mobile usability issues | 3. Verificar robots.txt mobile | 4. Mobile CWV optimization | 5. Request mobile re-indexing","Auditoría content parity: ¿Todo contenido desktop visible también en mobile? Contenido oculto mobile (accordions colapsados, tabs) = no indexado Google.","Fix mobile usability issues en Search Console: touch elements demasiado juntos, viewport no configurado, texto demasiado pequeño, content wider than screen.","Verificar robots.txt no bloquea recursos mobile (CSS, JS, imágenes). Verify with Mobile-Friendly Test. Eliminar bloqueos innecesarios.","Optimizar mobile CWV: reducir imágenes peso 70%, lazy loading, critical CSS inline, defer JS, font-display: swap. Target: LCP <2.5s mobile.","Request re-indexing URLs afectadas en Search Console (Request Indexing). Esperar 7-14 días Google re-crawl con Googlebot Mobile.","14-30 días (fixes + re-crawl + re-ranking)","Crítica - Mobile = 68% tráfico Ibiza Villa","Search Console (Mobile Usability, Performance mobile filter), Mobile-Friendly Test, PageSpeed Insights Mobile","Mobile-First Indexing = Google SOLO ve mobile version. Desktop version ignorada. Content parity 100% no negociable."
"Local Pack Desaparición","Ibiza Villa desaparece de Local Pack para keywords locales críticas 'villas [zona]'","Local Pack apariciones (rank tracking local), GBP impresiones/clicks (Insights), NAP consistency audit, GBP completitud score, Reviews nuevas",Semanal (Local rank tracker + GBP Insights),"Pérdida >50% apariciones Local Pack keywords target = Alta prioridad","1. Verificar GBP status | 2. Auditoría NAP consistency | 3. GBP completitud 100% | 4. Conseguir reviews | 5. GBP posts regulares","Verificar GBP no suspendido/desverificado en Google Business Profile Manager. Si suspendido: appeal inmediato. Si desverificado: re-verificar vía postal.","Auditoría NAP (Name, Address, Phone) consistency: verificar idéntico en GBP, web, Facebook, directorios (TripAdvisor, Timeout, etc). Inconsistencias = señal débil entidad.","Completar GBP 100%: 50+ fotos, horarios, servicios, categorías precisas (Primary: Vacation Home Rental), descripción 750 chars, productos/servicios, Q&A respondidas.","Conseguir 20-30 reviews nuevas en 60 días. Reviews recientes (últimos 3 meses) pesan más algoritmo Local Pack. Target: 4.7+ stars promedio.","Publicar 2 GBP posts/semana con imágenes villas, ofertas temporada, eventos Ibiza. Posts recientes = señal GBP activo y relevante.","30-45 días (Local algorithm re-evaluation)","Alta - Local Pack = 35-50% clics búsquedas locales","Google Business Profile Manager, BrightLocal (NAP audit), Local Falcon (local rank tracking), ReviewTrackers","Local Pack desaparición típicamente por: GBP desverificado, NAP inconsistente, falta reviews recientes, o competidor optimizó mejor GBP."
"Featured Snippet Pérdida","Competidor roba featured snippet que Ibiza Villa tenía en keywords críticas","Featured snippets owned, Featured snippet share of voice, Competidores con snippets keywords target, Snippet types (paragraph, list, table)",Semanal (Ahrefs Rank Tracker + manual SERP checks),"Pérdida >5 featured snippets en keywords alto valor = Alta prioridad","1. Analizar snippet ganador | 2. Mejorar formato snippet | 3. Añadir Schema markup | 4. Expandir contenido | 5. Re-optimization continua","Analizar snippet competidor ganador: ¿Qué formato usa? (párrafo, lista, tabla). ¿Longitud respuesta? ¿Estructura HTML? ¿Schema markup implementado?","Mejorar formato snippet: si competidor usa tabla, crear tabla mejor (más columnas, datos actualizados). Si lista, crear lista más completa (8-10 items vs 5).","Añadir Schema markup relevante: FAQPage Schema para preguntas, HowTo Schema para listas numeradas pasos, Table markup semántico para tablas.","Expandir contenido alrededor snippet: añadir contexto, ejemplos, FAQs relacionadas. Contenido comprehensivo > snippet aislado.","Re-optimization continua: monitorear snippet semanal. Si competidor mejora, contra-optimizar. Featured snippets = batalla constante competidores.","7-21 días (Google re-evaluation snippet position)","Media - Featured snippets valiosos pero volátiles","Ahrefs, SEMrush, SERPWatcher, Google Rich Results Test (Schema), Screaming Frog (HTML audit)","Featured snippets volátiles (pueden cambiar semanalmente). Monitoreo continuo + re-optimization necesaria mantener posición."
"E-E-A-T Degradación Post-Core Update","Caída rankings keywords YMYL transaccionales post-Core Update (alquiler, precio, reserva)","Rankings keywords YMYL, E-E-A-T audit score, Schema Person/Organization implementado, Menciones autoritativas DA 70+, Reviews quantity/quality, About Us page completitud",Mensual (E-E-A-T audit) + Diaria (rankings post-Core Update),"Caída >15 posiciones keywords YMYL post-Core Update = Crítica","1. E-E-A-T audit completo | 2. Schema Person/Org | 3. Mentions DA 70+ | 4. Reviews strategy | 5. About Us enhancement","E-E-A-T audit completo: ¿Hay personas reales identificadas? ¿Bios con expertise? ¿Fotos equipo reales? ¿Experiencia demostrable? ¿Credenciales verificables?","Implementar Schema Person (fundador/CEO) + Organization completo: SameAs LinkedIn/Wikidata, founder property, knowsAbout, contactPoint, areaServed.","Conseguir 5+ menciones medios DA 70-90: Forbes Travel, Condé Nast, Timeout, Spain Tourism. Pitch: 'Expertos villas lujo Ibiza con 15 años experiencia'.","Reviews strategy: 50+ reviews Google (4.8+ stars), 30+ TripAdvisor, 20+ Trustpilot. Review Schema aggregado consolidando múltiples fuentes.","Mejorar About Us page: expandir a 800+ palabras, añadir fotos equipo reales, LinkedIn profiles, experiencia sector, credenciales, premios/certificaciones.","60-90 días (E-E-A-T señales tardan en acumularse)","Crítica - YMYL queries requieren E-E-A-T fuerte","Ahrefs (E-E-A-T signals), Google Rich Results Test (Schema), HARO (media outreach), ReviewTrackers, Canva (About Us design)","E-E-A-T = factor ranking crítico YMYL. Sin E-E-A-T sólido imposible rankear keywords transaccionales competitivas €3k-15k."
"Indexing Issues Masivos","Google deja de indexar páginas nuevas o re-indexar páginas actualizadas","Páginas indexadas (site: command GSC), Crawl requests, Coverage issues (GSC), Robots.txt blocks, XML sitemap errors, Noindex tags accidentales",Semanal (Search Console Coverage Report),"50+ URLs discovered not indexed = Alta prioridad","1. Diagnóstico causa indexing | 2. Fix robots.txt/noindex | 3. XML sitemap fix | 4. Internal linking | 5. Request indexing","Diagnóstico causa: Search Console Coverage Report → Discovered - currently not indexed. Razones comunes: low quality, duplicate, crawl budget, orphan pages.","Fix robots.txt blocks y noindex tags accidentales. Verify robots.txt no bloquea páginas importantes. Buscar meta noindex accidentales en <head>.","XML sitemap fix: verificar todas URLs importantes en sitemap, eliminar URLs noindex/redirects de sitemap, submit sitemap actualizado GSC.","Internal linking: páginas orphan (0 internal links) no indexadas. Añadir internal links desde homepage/landing pages relevantes a páginas no indexadas.","Request indexing manual: Search Console → URL Inspection → Request Indexing para top 20 URLs prioritarias. No exceder 30 requests/día (límite Google).","14-30 días (Google re-crawl + indexing decision)","Alta - Páginas no indexadas = 0 tráfico orgánico","Search Console (Coverage, URL Inspection), Screaming Frog (internal links audit), XML Sitemap generator","Indexing issues típicamente por: low quality content, crawl budget agotado (sitio grande), orphan pages, o blocks técnicos."
"Algorithm Update Sin Impacto","Google confirma Core/HCU update pero Ibiza Villa sin cambios detectados","Tráfico orgánico estable (±3%), Rankings keywords estables (±2 posiciones), Conversión estable, Competidores rankings estables",Diaria durante 14 días post-update announcement,"Sin cambios = Monitoreo preventivo (no acción)","1. Monitoreo continuo | 2. Análisis preventivo | 3. Documentar | 4. Mantener guardia | 5. No cambiar nada","Monitoreo continuo: continuar tracking tráfico, rankings, conversión diariamente durante 30 días post-update. Updates pueden tener efecto retardado.","Análisis preventivo: aunque sin impacto, analizar qué cambió competidores (ganaron o perdieron). Identificar oportunidades o amenazas futuras.","Documentar: registrar update en historial con 'Sin impacto'. Documentar qué aspectos site protegieron de penalización (E-E-A-T sólido, contenido quality, link profile limpio).","Mantener guardia: no bajar precauciones. Updates futuros pueden targeting aspectos site aún no optimizados. Continuar mejoras continuas.","No cambiar nada: si site estable y saludable, NO hacer cambios reactivos innecesarios. 'If it ain't broke, don't fix it'.","N/A - Sin impacto, solo monitoreo","Google Search Console, Ahrefs, SEMrush Sensor, Google Search Central Blog","Sin impacto = señal positiva (site saludable). No complacencia: continuar auditorías preventivas cada 3 meses."
"Cambio SERP Features (PAA, Video, Images)","Aparecen nuevas SERP features que reducen CTR orgánico tradicional (People Also Ask, Video carousels, Image packs)","CTR orgánico por keyword, SERP features presentes por keyword, Featured snippets, PAA boxes, Video/Image packs, Position 1 CTR",Mensual (SERP features audit),"CTR position 1 cae >10% sin cambio posición = Media prioridad","1. Audit SERP features nuevas | 2. Optimizar para features | 3. Schema markup | 4. Diversificar presence | 5. Monitor CTR recovery","Audit SERP features nuevas: identificar qué features aparecen keywords target (PAA, Videos, Images, Local Pack, Shopping). Track con SERPWatcher.","Optimizar para features nuevas: si PAA → FAQPage Schema + preguntas, si Video → VideoObject Schema + YouTube embeds, si Images → ImageObject Schema + galería optimizada.","Implementar Schema markup específico: FAQPage (PAA), VideoObject (videos), ImageObject (images), HowTo (listas pasos), LocalBusiness (Local Pack).","Diversificar presence: no solo rankear orgánico tradicional, también aparecer en PAA boxes, video carousels, image packs. Múltiples presencias SERP = más visibilidad total.","Monitor CTR recovery: track CTR mejora después optimizations. Objetivo: compensar CTR orgánico perdido con presence features nuevas.","30-60 días (Google evaluate Schema + features optimization)","Media - SERP features cambian landscape pero controlables","Ahrefs, SERPWatcher, Google Rich Results Test, SEMrush (SERP features tracking)","SERP features reducen CTR orgánico pero ofrecen oportunidades nuevas. Adaptarse > resistir. Schema markup crítico para features."
