tarea_id,modulo_origen,tarea,categoria,prioridad,esfuerzo,timeline_dias,roi_estimado,impacto_revenue_anual,dependencias,fase_implementacion,responsable_sugerido,kpi_exito,notas
1,Core Web Vitals,Optimizar Hero Home (WebP + srcset),Performance,Crítica,Medio,14-21,25:1,€504k-672k,Ninguna,Quick Wins (Mes 1),Developer Frontend,LCP Home Mobile <2.5s,Hero image 1.2MB → 300KB WebP con 4 breakpoints srcset
2,Core Web Vitals,Implementar Dimensiones Imágenes (width/height),Performance,Crítica,Bajo,7-10,40:1,€268k-358k,Ninguna,Quick Wins (Mes 1),Developer Frontend,CLS Home <0.1,Añadir width/height a todas <img> para evitar layout shift
3,Queries GSC,Quick Win: alquiler villas ibiza (Pos 24→8-12),Keywords,Crítica,Alto,60-90,18:1,€1.62M-2.62M,Tarea 12 (Backlinks),Contenido (Mes 2-3),SEO Content Writer,Posición GSC <12 + CTR >8.5%,Content refresh 2000 palabras + 3-4 backlinks DR 70+
4,SEO On-Page,Optimizar Title Tags (41 URLs),On-Page,Crítica,Bajo,14-21,22:1,€800k-1.2M,Tarea 3,Quick Wins (Mes 1),SEO Specialist,CTR +2-3pp en 41 URLs,41 titles duplicados/subóptimos → únicos con keywords target
5,Arquitectura,Resolver Páginas Huérfanas (127 URLs),Technical,Crítica,Medio,21-30,15:1,€1.5M,Tarea 15,Arquitectura (Mes 2),Developer Backend,0 huérfanas en Screaming Frog,127 páginas sin enlaces internos → agregar 2-3 links desde categorías
6,Local SEO,Optimizar GBP 20% → 95%,Local,Crítica,Medio,30-45,20:1,€12k-18k/mes,Tarea 8,Local (Mes 1-2),Local SEO Specialist,GBP Score >95% + Local Pack Top 3,Completar 25 elementos GBP checklist (8 críticos)
7,Off-Page,Eliminar Enlaces Tóxicos (10 spam links),Off-Page,Crítica,Bajo,14-21,30:1,Mejora DR +2-4 pts,Ninguna,Quick Wins (Mes 1),SEO Off-Page,Spam Score <5% + Disavow activo,Crear y subir disavow.txt con 10 dominios spam
8,E-E-A-T,Crear Wikidata Entry + LinkedIn Company,Authority,Muy Alta,Medio,21-30,12:1,€45k-75k/mes,Tarea 14,Autoridad (Mes 2-3),Brand Manager,Knowledge Panel activo en 4-6 meses,Wikidata entry + LinkedIn Company + 6 SameAs properties
9,IA/SGE,Implementar FAQ Schema (10-12 páginas),Modern SEO,Muy Alta,Medio,14-21,25:1,€1.2M-1.8M,Tarea 11,Contenido (Mes 2),SEO Developer,SGE Coverage +40-60%,FAQPage Schema en páginas clave para citaciones SGE
10,Voice Search,Optimizar Velocidad Móvil LCP <2.5s,Performance,Muy Alta,Alto,30-45,20:1,€950k-1.32M,Tarea 1 y 2,Performance (Mes 2-3),Developer Full Stack,Mobile LCP <2.5s todas páginas,WebP + lazy load + CDN = voice search readiness 85%+
11,Featured Snippets,Capturar 8-12 Snippets (15 oportunidades),Content,Muy Alta,Alto,60-90,18:1,€1.8M-2.4M,Tarea 3 y 9,Contenido (Mes 2-4),SEO Content Writer,8-12 Featured Snippets capturados,Reestructurar 15 queries con formato snippet-friendly
12,Off-Page,Conseguir 6-8 Backlinks DR 70-90,Off-Page,Muy Alta,Alto,90-180,8:1,€2.5M-4M,Ninguna,Autoridad (Mes 3-6),PR/Outreach Specialist,DR 38 → 46-52 + 6-8 backlinks calidad,Outreach Forbes, Timeout, Condé Nast, Spain Tourism
13,Keywords Research,Crear 15 Landings Keywords Oportunidad,Content,Alta,Alto,60-90,12:1,€45k-75k/mes,Tarea 3,Contenido (Mes 2-4),SEO Content Writer,15 nuevas páginas posicionadas Top 20,15 keywords alto volumen sin trabajar → landings optimizadas
14,Knowledge Graph,Implementar 15 Schema Types Completos,Technical,Alta,Alto,30-45,15:1,Entity Score +175%,Tarea 8,Technical (Mes 2-3),SEO Developer,Entity Score 88/100 + Schema 15 types,Organization, LocalBusiness, Person, Product, Review completos
15,Arquitectura,Reducir Profundidad Promedio 4.1 → 2.5 clics,Technical,Alta,Alto,30-45,10:1,€1.5M,Tarea 5,Arquitectura (Mes 2-3),Developer Backend + IA,Profundidad <3 clics 90% URLs,Reestructurar navegación + breadcrumbs + internal linking
16,Tráfico Orgánico,Optimizar Hero Home (propuesta valor clara),UX,Alta,Medio,14-21,12:1,€504k-672k,Tarea 1,Quick Wins (Mes 1),UX Designer,Bounce rate Home <45%,Hero con headline claro + CTA + trust signals reduce rebote
17,Content,Crear 10 Guías Locales Ibiza (contenido definitional),Content,Alta,Alto,45-60,12:1,€20k potencial,Tarea 13,Contenido (Mes 2-3),Content Writer Local,10 guías publicadas + E-E-A-T +20 pts,Guías experiencia local para E-E-A-T + IA/SGE citaciones
18,Monitoreo Algoritmo,Setup Sistema Monitoreo 24/7,Monitoring,Alta,Medio,14-21,15:1,Ahorro €36k-72k/año,Ninguna,Setup (Mes 1),SEO Manager,Detección <48h + 13 playbooks activos,Herramientas: GSC, Ahrefs, SEMrush Sensor, MozCast + alertas
19,SEO Técnico,Fix Errores 4xx/5xx (285 errores),Technical,Media,Medio,21-30,8:1,Mejora crawl efficiency,Tarea 5,Technical (Mes 2),Developer Backend,0 errores críticos 4xx/5xx,285 errores HTTP → redirects 301 o fix páginas
20,Wireframes,Implementar 12 Wireframes Tipologías,UX,Media,Alto,45-60,10:1,€35k-55k/mes,Tarea 16,UX (Mes 3-4),UX Designer + Developer,Conversión promedio 4.2-5.1%,12 wireframes buyer-journey optimizados por tipología
21,Contenido,Ampliar Sobre Nosotros (E-E-A-T),Content,Media,Bajo,7-10,9:1,E-E-A-T +15 pts,Tarea 8,Contenido (Mes 1),Content Writer,Sobre Nosotros >800 palabras + equipo,Team visible + experiencia local + credenciales
22,Real Estate SEO,Implementar Estrategia Vertical Inmobiliaria,Vertical,Media,Alto,60-90,12:1,€5M-8M potencial,Múltiples,Vertical (Mes 3-6),SEO Vertical Specialist,Keywords inmobiliarias Top 20,Schema RealEstateListing + IDX integration + luxury vertical SEO
